No.,Species,Local Name,Location,Count (Approx.),Breeding Time,Habitat
497,Scorpion Fish,Local Name 497,"Sundarbans, West Bengal",Common,Summer (May-Jul),"Estuaries, Shallow Reefs"
498,Seahorse,Local Name 498,Andaman Islands,Rare,Winter (Dec-Feb),"Rocky Reefs, Mangroves"
499,Butterfly Fish,Local Name 499,West Bengal Coast,Endangered,Monsoon (July-Sept),"Coral Reefs, Open Sea"
500,Guitarfish,Local Name 500,Tamil Nadu Coast,Declining,Spring (Mar-Apr),"Brackish, Shallow Reefs"
501,Anthias,Local Name 501,Odisha Coast,Declining,Summer (May-Jul),"Coral Reefs, Estuaries"
502,Emperor Fish,Local Name 502,Mumbai Coast,Critically Endangered,Monsoon (July-Sept),"Open Sea, Open Sea"
503,Tilefish,Local Name 503,Goa,Rare,Year-round,"Coastal, Sandy Bottoms"
504,Catfish,Local Name 504,Gulf of Mannar,Declining,Summer (May-Jul),"Brackish, Freshwater rivers"
505,Pufferfish,Local Name 505,Lakshadweep Sea,Moderate,Summer (May-Jul),"Estuaries, Freshwater rivers"
506,Mahi-Mahi,Local Name 506,West Bengal Coast,Common,Summer (May-Jul),"Freshwater rivers, Sandy Bottoms"
507,Anglerfish,Local Name 507,Mumbai Coast,Moderate,Monsoon (July-Sept),"Brackish, Brackish"
508,Ribbon Fish,Local Name 508,Bay of Bengal,Endangered,Monsoon (July-Sept),"Coral Reefs, Brackish"
509,Silver Whiting,Local Name 509,Andaman Islands,Stable,Year-round,"Open Sea, Open Sea"
510,Barramundi,Local Name 510,Lakshadweep Sea,Stable,Spring (Mar-Apr),"Sandy Bottoms, Estuaries"
511,Indian Featherback,Local Name 511,Rameswaram Coast,Common,Winter (Dec-Feb),"Coral Reefs, Freshwater rivers"
512,Drum,Local Name 512,Gulf of Mannar,Moderate,Winter (Dec-Feb),"Coral Reefs, Sandy Bottoms"
513,Blue Chromis,Local Name 513,Kanyakumari,Endangered,Year-round,"Coral Reefs, Mangroves"
514,Butterfly Fish,Local Name 514,Rameswaram Coast,Common,Spring (Mar-Apr),"Mangroves, Sandy Bottoms"
515,Mackerel,Local Name 515,Goa,Declining,Monsoon (July-Sept),"Open Sea, Open Sea"
516,Indian Featherback,Local Name 516,Mumbai Coast,Moderate,Winter (Dec-Feb),"Shallow Reefs, Coral Reefs"
517,Shovelnose Ray,Local Name 517,Visakhapatnam,Stable,Year-round,"Open Sea, Shallow Reefs"
518,Silver Whiting,Local Name 518,"Sundarbans, West Bengal",Common,Winter (Dec-Feb),"Estuaries, Estuaries"
519,Blue Marlin,Local Name 519,Lakshadweep Sea,Rare,Summer (May-Jul),"Freshwater rivers, Mangroves"
520,Hawkfish,Local Name 520,Bay of Bengal,Declining,Monsoon (July-Sept),"Open Sea, Freshwater rivers"
521,Mandarinfish,Local Name 521,Tamil Nadu Coast,Declining,Year-round,"Shallow Reefs, Coral Reefs"
522,Emperor Fish,Local Name 522,West Bengal Coast,Declining,Monsoon (July-Sept),"Sandy Bottoms, Mangroves"
523,Grunt,Local Name 523,Goa,Rare,Monsoon (July-Sept),"Coral Reefs, Coral Reefs"
524,Sardine,Local Name 524,Tamil Nadu Coast,Declining,Spring (Mar-Apr),"Rocky Reefs, Coastal"
525,Grunt,Local Name 525,Bay of Bengal,Stable,Monsoon (July-Sept),"Freshwater rivers, Coastal"
526,Indian Featherback,Local Name 526,West Bengal Coast,Endangered,Spring (Mar-Apr),"Estuaries, Shallow Reefs"
527,Pike,Local Name 527,West Bengal Coast,Critically Endangered,Summer (May-Jul),"Estuaries, Estuaries"
528,Parrot Fish,Local Name 528,Kanyakumari,Declining,Year-round,"Coastal, Coastal"
529,Sandperch,Local Name 529,Palk Strait,Declining,Spring (Mar-Apr),"Sandy Bottoms, Brackish"
530,Indo-Pacific King Mackerel,Local Name 530,Visakhapatnam,Moderate,Year-round,"Rocky Reefs, Sandy Bottoms"
531,Bluespotted Ribbontail Ray,Local Name 531,Goa,Rare,Summer (May-Jul),"Estuaries, Brackish"
532,Sturgeon,Local Name 532,"Sundarbans, West Bengal",Rare,Winter (Dec-Feb),"Shallow Reefs, Sandy Bottoms"
533,Sturgeon,Local Name 533,Bay of Bengal,Stable,Summer (May-Jul),"Freshwater rivers, Coastal"
534,Hawkfish,Local Name 534,Kochi,Moderate,Winter (Dec-Feb),"Shallow Reefs, Open Sea"
535,Guitarfish,Local Name 535,Kochi,Moderate,Summer (May-Jul),"Mangroves, Coral Reefs"
536,Nurse Shark,Local Name 536,Goa,Stable,Summer (May-Jul),"Mangroves, Freshwater rivers"
537,Snapper,Local Name 537,Lakshadweep Sea,Rare,Winter (Dec-Feb),"Rocky Reefs, Coastal"
538,Barramundi,Local Name 538,Kochi,Rare,Winter (Dec-Feb),"Brackish, Shallow Reefs"
539,Nurse Shark,Local Name 539,Bay of Bengal,Critically Endangered,Winter (Dec-Feb),"Coastal, Rocky Reefs"
540,Shovelnose Ray,Local Name 540,Kerala Backwaters,Endangered,Summer (May-Jul),"Shallow Reefs, Brackish"
541,Mackerel,Local Name 541,Rameswaram Coast,Common,Winter (Dec-Feb),"Mangroves, Coral Reefs"
542,Snappers,Local Name 542,Kerala Backwaters,Rare,Year-round,"Open Sea, Coastal"
543,Blue Chromis,Local Name 543,"Sundarbans, West Bengal",Critically Endangered,Winter (Dec-Feb),"Open Sea, Mangroves"
544,Sandperch,Local Name 544,Kanyakumari,Rare,Spring (Mar-Apr),"Shallow Reefs, Sandy Bottoms"
545,Moray Eel,Local Name 545,Andaman Islands,Moderate,Winter (Dec-Feb),"Open Sea, Mangroves"
546,Herring,Local Name 546,Lakshadweep Sea,Moderate,Year-round,"Mangroves, Estuaries"
547,Lion Fish,Local Name 547,"Sundarbans, West Bengal",Rare,Monsoon (July-Sept),"Mangroves, Estuaries"
548,Swordfish,Local Name 548,Lakshadweep Sea,Moderate,Year-round,"Brackish, Mangroves"
549,Tuna,Local Name 549,West Bengal Coast,Endangered,Spring (Mar-Apr),"Rocky Reefs, Mangroves"
550,Bonito,Local Name 550,Tamil Nadu Coast,Stable,Monsoon (July-Sept),"Sandy Bottoms, Open Sea"
551,Sturgeon,Local Name 551,Lakshadweep Sea,Stable,Spring (Mar-Apr),"Mangroves, Rocky Reefs"
552,Sturgeon,Local Name 552,Bay of Bengal,Endangered,Winter (Dec-Feb),"Sandy Bottoms, Rocky Reefs"
553,Blue Marlin,Local Name 553,West Bengal Coast,Moderate,Spring (Mar-Apr),"Shallow Reefs, Coral Reefs"
554,Catfish,Local Name 554,Lakshadweep Sea,Rare,Year-round,"Sandy Bottoms, Freshwater rivers"
555,Chub,Local Name 555,Rameswaram Coast,Stable,Summer (May-Jul),"Coastal, Coral Reefs"
556,Blue Chromis,Local Name 556,Palk Strait,Declining,Winter (Dec-Feb),"Freshwater rivers, Sandy Bottoms"
557,Moray Eel,Local Name 557,Kerala Backwaters,Rare,Spring (Mar-Apr),"Rocky Reefs, Coral Reefs"
558,Drum,Local Name 558,Palk Strait,Stable,Summer (May-Jul),"Brackish, Open Sea"
559,Drum,Local Name 559,Visakhapatnam,Declining,Year-round,"Coastal, Shallow Reefs"
560,Surgeon Fish,Local Name 560,Andaman Islands,Rare,Summer (May-Jul),"Shallow Reefs, Estuaries"
561,Snappers,Local Name 561,Mumbai Coast,Moderate,Year-round,"Rocky Reefs, Mangroves"
562,Eel,Local Name 562,Kochi,Critically Endangered,Summer (May-Jul),"Shallow Reefs, Sandy Bottoms"
563,Mahi-Mahi,Local Name 563,Rameswaram Coast,Moderate,Year-round,"Mangroves, Freshwater rivers"
564,Pomfret,Local Name 564,Rameswaram Coast,Declining,Winter (Dec-Feb),"Rocky Reefs, Estuaries"
565,Mahi-Mahi,Local Name 565,Gulf of Mannar,Common,Monsoon (July-Sept),"Mangroves, Freshwater rivers"
566,Catfish,Local Name 566,Visakhapatnam,Endangered,Winter (Dec-Feb),"Sandy Bottoms, Shallow Reefs"
567,Hawkfish,Local Name 567,Gulf of Mannar,Stable,Spring (Mar-Apr),"Rocky Reefs, Brackish"
568,Ladyfish,Local Name 568,Kanyakumari,Rare,Winter (Dec-Feb),"Coral Reefs, Brackish"
569,Herring,Local Name 569,"Sundarbans, West Bengal",Endangered,Winter (Dec-Feb),"Brackish, Freshwater rivers"
570,Scorpion Fish,Local Name 570,Andaman Islands,Moderate,Summer (May-Jul),"Coastal, Freshwater rivers"
571,Hawkfish,Local Name 571,West Bengal Coast,Stable,Year-round,"Coastal, Coral Reefs"
572,Scorpion Fish,Local Name 572,Tamil Nadu Coast,Declining,Winter (Dec-Feb),"Shallow Reefs, Mangroves"
573,Sandperch,Local Name 573,Lakshadweep Sea,Moderate,Winter (Dec-Feb),"Shallow Reefs, Coastal"
574,Tuna,Local Name 574,"Sundarbans, West Bengal",Stable,Monsoon (July-Sept),"Mangroves, Brackish"
575,Goby,Local Name 575,Andaman Islands,Critically Endangered,Monsoon (July-Sept),"Rocky Reefs, Shallow Reefs"
576,Butterfly Fish,Local Name 576,Palk Strait,Moderate,Winter (Dec-Feb),"Rocky Reefs, Freshwater rivers"
577,Guitarfish,Local Name 577,Odisha Coast,Critically Endangered,Summer (May-Jul),"Sandy Bottoms, Brackish"
578,Mackerel,Local Name 578,Visakhapatnam,Rare,Winter (Dec-Feb),"Brackish, Open Sea"
579,Gobies,Local Name 579,Kochi,Declining,Summer (May-Jul),"Sandy Bottoms, Shallow Reefs"
580,Herring,Local Name 580,Tamil Nadu Coast,Declining,Year-round,"Shallow Reefs, Estuaries"
581,Blue Marlin,Local Name 581,Odisha Coast,Declining,Winter (Dec-Feb),"Estuaries, Estuaries"
582,Nurse Shark,Local Name 582,Palk Strait,Stable,Monsoon (July-Sept),"Sandy Bottoms, Shallow Reefs"
583,Silver Whiting,Local Name 583,Mumbai Coast,Rare,Winter (Dec-Feb),"Open Sea, Freshwater rivers"
584,Dory,Local Name 584,Palk Strait,Endangered,Year-round,"Shallow Reefs, Open Sea"
585,Bonito,Local Name 585,Lakshadweep Sea,Common,Monsoon (July-Sept),"Freshwater rivers, Sandy Bottoms"
586,Pangasius Catfish,Local Name 586,Bay of Bengal,Stable,Winter (Dec-Feb),"Mangroves, Estuaries"
587,Trout,Local Name 587,Odisha Coast,Critically Endangered,Summer (May-Jul),"Open Sea, Coastal"
588,Trevally,Local Name 588,Odisha Coast,Stable,Winter (Dec-Feb),"Rocky Reefs, Rocky Reefs"
589,Longcomb Sawfish,Local Name 589,Gulf of Mannar,Endangered,Spring (Mar-Apr),"Coastal, Mangroves"
590,Parrot Fish,Local Name 590,Palk Strait,Declining,Year-round,"Sandy Bottoms, Estuaries"
591,Bluefin Tuna,Local Name 591,Goa,Endangered,Spring (Mar-Apr),"Sandy Bottoms, Mangroves"
592,Anchovy,Local Name 592,Gulf of Mannar,Endangered,Monsoon (July-Sept),"Shallow Reefs, Mangroves"
593,Silver Whiting,Local Name 593,Rameswaram Coast,Moderate,Spring (Mar-Apr),"Freshwater rivers, Shallow Reefs"
594,Longcomb Sawfish,Local Name 594,West Bengal Coast,Declining,Monsoon (July-Sept),"Coastal, Open Sea"
595,Lion Fish,Local Name 595,Bay of Bengal,Endangered,Monsoon (July-Sept),"Brackish, Open Sea"
596,Anchovy,Local Name 596,Tamil Nadu Coast,Moderate,Winter (Dec-Feb),"Rocky Reefs, Coastal"
597,Mandarinfish,Local Name 597,"Sundarbans, West Bengal",Endangered,Winter (Dec-Feb),"Coral Reefs, Rocky Reefs"
598,Guitarfish,Local Name 598,Kerala Backwaters,Critically Endangered,Summer (May-Jul),"Freshwater rivers, Shallow Reefs"
599,Shovelnose Ray,Local Name 599,Kanyakumari,Stable,Winter (Dec-Feb),"Freshwater rivers, Coastal"
600,Longcomb Sawfish,Local Name 600,Goa,Endangered,Summer (May-Jul),"Mangroves, Coastal"
601,Hawkfish,Local Name 601,Bay of Bengal,Moderate,Year-round,"Coral Reefs, Shallow Reefs"
602,Silver Whiting,Local Name 602,Lakshadweep Sea,Endangered,Year-round,"Estuaries, Brackish"
603,Barramundi,Local Name 603,Lakshadweep Sea,Rare,Monsoon (July-Sept),"Estuaries, Rocky Reefs"
604,Catfish,Local Name 604,Palk Strait,Moderate,Summer (May-Jul),"Freshwater rivers, Sandy Bottoms"
605,Bluefin Tuna,Local Name 605,Tamil Nadu Coast,Declining,Spring (Mar-Apr),"Sandy Bottoms, Coral Reefs"
606,Dory,Local Name 606,Rameswaram Coast,Rare,Winter (Dec-Feb),"Coral Reefs, Estuaries"
607,Blacktip Shark,Local Name 607,Odisha Coast,Moderate,Summer (May-Jul),"Brackish, Brackish"
608,Shovelnose Ray,Local Name 608,Tamil Nadu Coast,Moderate,Summer (May-Jul),"Freshwater rivers, Mangroves"
609,Snapper,Local Name 609,Goa,Stable,Year-round,"Coral Reefs, Open Sea"
610,Mandarinfish,Local Name 610,Visakhapatnam,Stable,Winter (Dec-Feb),"Freshwater rivers, Coral Reefs"
611,Trevally,Local Name 611,"Sundarbans, West Bengal",Stable,Monsoon (July-Sept),"Coastal, Estuaries"
612,Longcomb Sawfish,Local Name 612,Odisha Coast,Declining,Summer (May-Jul),"Open Sea, Coral Reefs"
613,Swordfish,Local Name 613,Kochi,Moderate,Monsoon (July-Sept),"Sandy Bottoms, Brackish"
614,Tilefish,Local Name 614,Bay of Bengal,Moderate,Monsoon (July-Sept),"Estuaries, Estuaries"
615,Anglerfish,Local Name 615,West Bengal Coast,Declining,Monsoon (July-Sept),"Rocky Reefs, Brackish"
616,Barramundi,Local Name 616,Kerala Backwaters,Critically Endangered,Summer (May-Jul),"Coral Reefs, Rocky Reefs"
617,Blue Chromis,Local Name 617,Palk Strait,Stable,Monsoon (July-Sept),"Rocky Reefs, Estuaries"
618,Silver Whiting,Local Name 618,"Sundarbans, West Bengal",Critically Endangered,Summer (May-Jul),"Freshwater rivers, Estuaries"
619,Barracuda,Local Name 619,Goa,Moderate,Year-round,"Sandy Bottoms, Sandy Bottoms"
620,Emperor Fish,Local Name 620,Odisha Coast,Stable,Year-round,"Brackish, Brackish"
621,Longcomb Sawfish,Local Name 621,Visakhapatnam,Rare,Monsoon (July-Sept),"Sandy Bottoms, Coastal"
622,Mahi-Mahi,Local Name 622,Odisha Coast,Rare,Summer (May-Jul),"Freshwater rivers, Coral Reefs"
623,Mahi-Mahi,Local Name 623,Visakhapatnam,Moderate,Year-round,"Open Sea, Estuaries"
624,Barramundi,Local Name 624,Mumbai Coast,Endangered,Winter (Dec-Feb),"Open Sea, Brackish"
625,Snapper,Local Name 625,Kerala Backwaters,Critically Endangered,Summer (May-Jul),"Brackish, Rocky Reefs"
626,Hawkfish,Local Name 626,Tamil Nadu Coast,Declining,Winter (Dec-Feb),"Mangroves, Coral Reefs"
627,Tilapia,Local Name 627,Kerala Backwaters,Common,Winter (Dec-Feb),"Coastal, Open Sea"
628,Yellow Sea Bream,Local Name 628,Mumbai Coast,Common,Winter (Dec-Feb),"Brackish, Shallow Reefs"
629,Blacktip Shark,Local Name 629,Bay of Bengal,Endangered,Monsoon (July-Sept),"Coral Reefs, Freshwater rivers"
630,Moray Eel,Local Name 630,"Sundarbans, West Bengal",Moderate,Spring (Mar-Apr),"Coastal, Sandy Bottoms"
631,Hawkfish,Local Name 631,Bay of Bengal,Rare,Summer (May-Jul),"Estuaries, Coastal"
632,Shovelnose Ray,Local Name 632,Tamil Nadu Coast,Moderate,Summer (May-Jul),"Freshwater rivers, Freshwater rivers"
633,Pangasius Catfish,Local Name 633,Visakhapatnam,Declining,Year-round,"Open Sea, Mangroves"
634,Mahi-Mahi,Local Name 634,Rameswaram Coast,Common,Summer (May-Jul),"Sandy Bottoms, Open Sea"
635,Herring,Local Name 635,"Sundarbans, West Bengal",Declining,Spring (Mar-Apr),"Estuaries, Open Sea"
636,Silver Whiting,Local Name 636,Goa,Moderate,Spring (Mar-Apr),"Brackish, Coastal"
637,Surgeon Fish,Local Name 637,Rameswaram Coast,Critically Endangered,Summer (May-Jul),"Open Sea, Open Sea"
638,Ribbon Fish,Local Name 638,Visakhapatnam,Stable,Monsoon (July-Sept),"Open Sea, Rocky Reefs"
639,Pomfret,Local Name 639,Odisha Coast,Stable,Monsoon (July-Sept),"Coral Reefs, Estuaries"
640,Surgeon Fish,Local Name 640,Gulf of Mannar,Moderate,Monsoon (July-Sept),"Shallow Reefs, Estuaries"
641,Goby,Local Name 641,"Sundarbans, West Bengal",Rare,Summer (May-Jul),"Shallow Reefs, Open Sea"
642,Trout,Local Name 642,Tamil Nadu Coast,Rare,Summer (May-Jul),"Coastal, Mangroves"
643,Grunt,Local Name 643,Mumbai Coast,Endangered,Spring (Mar-Apr),"Estuaries, Estuaries"
644,Swordfish,Local Name 644,Kanyakumari,Critically Endangered,Winter (Dec-Feb),"Open Sea, Rocky Reefs"
645,Seahorse,Local Name 645,Bay of Bengal,Rare,Summer (May-Jul),"Brackish, Mangroves"
646,Anglerfish,Local Name 646,Andaman Islands,Moderate,Monsoon (July-Sept),"Open Sea, Rocky Reefs"
647,Mullet,Local Name 647,Lakshadweep Sea,Common,Spring (Mar-Apr),"Coral Reefs, Coral Reefs"
648,Bonito,Local Name 648,Kanyakumari,Declining,Year-round,"Coastal, Sandy Bottoms"
649,Anglerfish,Local Name 649,Visakhapatnam,Critically Endangered,Winter (Dec-Feb),"Coral Reefs, Open Sea"
650,Anchovy,Local Name 650,Bay of Bengal,Declining,Spring (Mar-Apr),"Brackish, Brackish"
651,Yellow Sea Bream,Local Name 651,Gulf of Mannar,Declining,Spring (Mar-Apr),"Coastal, Open Sea"
652,Clown Fish,Local Name 652,Visakhapatnam,Rare,Summer (May-Jul),"Coral Reefs, Coral Reefs"
653,Ribbon Fish,Local Name 653,Mumbai Coast,Rare,Summer (May-Jul),"Brackish, Open Sea"
654,Wrasse,Local Name 654,Bay of Bengal,Critically Endangered,Monsoon (July-Sept),"Estuaries, Mangroves"
655,Parrot Fish,Local Name 655,"Sundarbans, West Bengal",Stable,Year-round,"Open Sea, Sandy Bottoms"
656,Butterfly Fish,Local Name 656,Lakshadweep Sea,Critically Endangered,Monsoon (July-Sept),"Sandy Bottoms, Estuaries"
657,Herring,Local Name 657,Goa,Stable,Summer (May-Jul),"Sandy Bottoms, Open Sea"
658,Blue Marlin,Local Name 658,West Bengal Coast,Endangered,Monsoon (July-Sept),"Sandy Bottoms, Coral Reefs"
659,Groupers,Local Name 659,Gulf of Mannar,Stable,Monsoon (July-Sept),"Shallow Reefs, Coastal"
660,Longcomb Sawfish,Local Name 660,Odisha Coast,Rare,Year-round,"Mangroves, Freshwater rivers"
661,Barramundi,Local Name 661,West Bengal Coast,Endangered,Summer (May-Jul),"Shallow Reefs, Open Sea"
662,Clown Fish,Local Name 662,Goa,Endangered,Summer (May-Jul),"Shallow Reefs, Shallow Reefs"
663,Tilapia,Local Name 663,Kochi,Endangered,Year-round,"Mangroves, Mangroves"
664,Butterfly Fish,Local Name 664,Gulf of Mannar,Critically Endangered,Spring (Mar-Apr),"Rocky Reefs, Mangroves"
665,Dory,Local Name 665,Palk Strait,Declining,Summer (May-Jul),"Freshwater rivers, Coastal"
666,Chub,Local Name 666,Visakhapatnam,Rare,Spring (Mar-Apr),"Open Sea, Freshwater rivers"
667,Ladyfish,Local Name 667,Kochi,Critically Endangered,Summer (May-Jul),"Shallow Reefs, Sandy Bottoms"
668,Indian Featherback,Local Name 668,Goa,Rare,Year-round,"Coral Reefs, Coral Reefs"
669,Sturgeon,Local Name 669,Rameswaram Coast,Declining,Year-round,"Brackish, Freshwater rivers"
670,Longcomb Sawfish,Local Name 670,West Bengal Coast,Stable,Summer (May-Jul),"Shallow Reefs, Sandy Bottoms"
671,Parrot Fish,Local Name 671,Lakshadweep Sea,Endangered,Year-round,"Mangroves, Sandy Bottoms"
672,Blue Marlin,Local Name 672,Rameswaram Coast,Critically Endangered,Year-round,"Open Sea, Estuaries"
673,Pufferfish,Local Name 673,Andaman Islands,Stable,Year-round,"Freshwater rivers, Sandy Bottoms"
674,Pangasius Catfish,Local Name 674,"Sundarbans, West Bengal",Endangered,Spring (Mar-Apr),"Coastal, Coral Reefs"
675,Blue Chromis,Local Name 675,Visakhapatnam,Common,Winter (Dec-Feb),"Mangroves, Sandy Bottoms"
676,Indo-Pacific King Mackerel,Local Name 676,Kerala Backwaters,Declining,Winter (Dec-Feb),"Brackish, Coral Reefs"
677,Grunt,Local Name 677,Kanyakumari,Common,Year-round,"Sandy Bottoms, Estuaries"
678,Tuna,Local Name 678,Mumbai Coast,Moderate,Winter (Dec-Feb),"Sandy Bottoms, Open Sea"
679,Anchovy,Local Name 679,Goa,Moderate,Winter (Dec-Feb),"Mangroves, Sandy Bottoms"
680,Bluespotted Ribbontail Ray,Local Name 680,Andaman Islands,Rare,Monsoon (July-Sept),"Coastal, Rocky Reefs"
681,Barracuda,Local Name 681,Palk Strait,Moderate,Year-round,"Brackish, Estuaries"
682,Anglerfish,Local Name 682,Mumbai Coast,Rare,Summer (May-Jul),"Shallow Reefs, Estuaries"
683,Longcomb Sawfish,Local Name 683,Kerala Backwaters,Endangered,Year-round,"Brackish, Open Sea"
684,Sardine,Local Name 684,"Sundarbans, West Bengal",Declining,Winter (Dec-Feb),"Mangroves, Coastal"
685,Snappers,Local Name 685,Visakhapatnam,Rare,Winter (Dec-Feb),"Rocky Reefs, Coastal"
686,Guitarfish,Local Name 686,Rameswaram Coast,Rare,Year-round,"Coastal, Shallow Reefs"
687,Carp,Local Name 687,West Bengal Coast,Rare,Year-round,"Estuaries, Freshwater rivers"
688,Tuna,Local Name 688,Lakshadweep Sea,Critically Endangered,Monsoon (July-Sept),"Coastal, Freshwater rivers"
689,Swordfish,Local Name 689,Andaman Islands,Rare,Winter (Dec-Feb),"Estuaries, Coral Reefs"
690,Blacktip Shark,Local Name 690,Kochi,Stable,Year-round,"Coral Reefs, Estuaries"
691,Indian Featherback,Local Name 691,Visakhapatnam,Common,Summer (May-Jul),"Coral Reefs, Mangroves"
692,Shovelnose Ray,Local Name 692,Kochi,Common,Monsoon (July-Sept),"Shallow Reefs, Estuaries"
693,Cod,Local Name 693,Visakhapatnam,Declining,Winter (Dec-Feb),"Rocky Reefs, Rocky Reefs"
694,Anchovy,Local Name 694,West Bengal Coast,Declining,Winter (Dec-Feb),"Sandy Bottoms, Coastal"
695,Barramundi,Local Name 695,Kochi,Endangered,Summer (May-Jul),"Sandy Bottoms, Coastal"
696,Blue Marlin,Local Name 696,Rameswaram Coast,Rare,Year-round,"Mangroves, Freshwater rivers"
697,Blue Marlin,Local Name 697,"Sundarbans, West Bengal",Common,Year-round,"Sandy Bottoms, Estuaries"
698,Groupers,Local Name 698,Kerala Backwaters,Critically Endangered,Winter (Dec-Feb),"Coastal, Coral Reefs"
699,Tuna,Local Name 699,West Bengal Coast,Common,Spring (Mar-Apr),"Estuaries, Shallow Reefs"
700,Chub,Local Name 700,Tamil Nadu Coast,Rare,Monsoon (July-Sept),"Coral Reefs, Sandy Bottoms"
701,Blacktip Shark,Local Name 701,Mumbai Coast,Critically Endangered,Winter (Dec-Feb),"Open Sea, Rocky Reefs"
702,Blacktip Shark,Local Name 702,Rameswaram Coast,Critically Endangered,Winter (Dec-Feb),"Open Sea, Coral Reefs"
703,Swordfish,Local Name 703,Kerala Backwaters,Critically Endangered,Year-round,"Brackish, Mangroves"
704,Drum,Local Name 704,Goa,Declining,Year-round,"Coastal, Freshwater rivers"
705,Emperor Fish,Local Name 705,Kochi,Common,Monsoon (July-Sept),"Shallow Reefs, Rocky Reefs"
706,Anglerfish,Local Name 706,Goa,Rare,Monsoon (July-Sept),"Freshwater rivers, Sandy Bottoms"
707,Mullet,Local Name 707,West Bengal Coast,Endangered,Year-round,"Open Sea, Sandy Bottoms"
708,Emperor Fish,Local Name 708,Bay of Bengal,Critically Endangered,Year-round,"Open Sea, Rocky Reefs"
709,Bonito,Local Name 709,Lakshadweep Sea,Endangered,Summer (May-Jul),"Open Sea, Rocky Reefs"
710,Groupers,Local Name 710,Palk Strait,Critically Endangered,Year-round,"Mangroves, Coastal"
711,Bluefin Tuna,Local Name 711,Tamil Nadu Coast,Critically Endangered,Winter (Dec-Feb),"Brackish, Brackish"
712,Eel,Local Name 712,Mumbai Coast,Endangered,Winter (Dec-Feb),"Rocky Reefs, Coral Reefs"
713,Bombay Duck,Local Name 713,"Sundarbans, West Bengal",Moderate,Winter (Dec-Feb),"Rocky Reefs, Coastal"
714,Blue Marlin,Local Name 714,Kerala Backwaters,Moderate,Spring (Mar-Apr),"Brackish, Freshwater rivers"
715,Catfish,Local Name 715,Kerala Backwaters,Endangered,Winter (Dec-Feb),"Open Sea, Freshwater rivers"
716,Drum,Local Name 716,Kanyakumari,Endangered,Monsoon (July-Sept),"Shallow Reefs, Estuaries"
717,Trout,Local Name 717,West Bengal Coast,Declining,Winter (Dec-Feb),"Brackish, Rocky Reefs"
718,Pomfret,Local Name 718,Tamil Nadu Coast,Moderate,Summer (May-Jul),"Brackish, Freshwater rivers"
719,Yellow Sea Bream,Local Name 719,Mumbai Coast,Moderate,Spring (Mar-Apr),"Rocky Reefs, Estuaries"
720,Carp,Local Name 720,Mumbai Coast,Rare,Monsoon (July-Sept),"Shallow Reefs, Freshwater rivers"
721,Blacktip Shark,Local Name 721,Palk Strait,Critically Endangered,Summer (May-Jul),"Sandy Bottoms, Mangroves"
722,Tilefish,Local Name 722,Odisha Coast,Stable,Winter (Dec-Feb),"Coral Reefs, Mangroves"
723,Chub,Local Name 723,Gulf of Mannar,Moderate,Winter (Dec-Feb),"Sandy Bottoms, Rocky Reefs"
724,Herring,Local Name 724,Rameswaram Coast,Stable,Spring (Mar-Apr),"Estuaries, Sandy Bottoms"
725,Snappers,Local Name 725,Rameswaram Coast,Rare,Summer (May-Jul),"Sandy Bottoms, Estuaries"
726,Blacktip Shark,Local Name 726,Tamil Nadu Coast,Declining,Year-round,"Freshwater rivers, Open Sea"
727,Lion Fish,Local Name 727,Gulf of Mannar,Rare,Summer (May-Jul),"Shallow Reefs, Shallow Reefs"
728,Sturgeon,Local Name 728,Tamil Nadu Coast,Moderate,Summer (May-Jul),"Open Sea, Shallow Reefs"
729,Cod,Local Name 729,Kochi,Critically Endangered,Spring (Mar-Apr),"Brackish, Brackish"
730,Bluefin Tuna,Local Name 730,Tamil Nadu Coast,Stable,Summer (May-Jul),"Brackish, Brackish"
731,Moray Eel,Local Name 731,Lakshadweep Sea,Moderate,Summer (May-Jul),"Coral Reefs, Rocky Reefs"
732,Blue Marlin,Local Name 732,Kerala Backwaters,Rare,Spring (Mar-Apr),"Brackish, Rocky Reefs"
733,Tilefish,Local Name 733,Mumbai Coast,Endangered,Winter (Dec-Feb),"Shallow Reefs, Mangroves"
734,Pike,Local Name 734,Kanyakumari,Critically Endangered,Monsoon (July-Sept),"Sandy Bottoms, Coral Reefs"
735,Tilefish,Local Name 735,West Bengal Coast,Rare,Monsoon (July-Sept),"Coral Reefs, Estuaries"
736,Goby,Local Name 736,Kerala Backwaters,Endangered,Summer (May-Jul),"Coastal, Mangroves"
737,Parrot Fish,Local Name 737,Rameswaram Coast,Declining,Winter (Dec-Feb),"Sandy Bottoms, Freshwater rivers"
738,Grunt,Local Name 738,Mumbai Coast,Critically Endangered,Year-round,"Shallow Reefs, Open Sea"
739,Hilsa,Local Name 739,Kerala Backwaters,Moderate,Year-round,"Coral Reefs, Rocky Reefs"
740,Mahi-Mahi,Local Name 740,Odisha Coast,Moderate,Monsoon (July-Sept),"Estuaries, Freshwater rivers"
741,Swordfish,Local Name 741,Kanyakumari,Endangered,Summer (May-Jul),"Sandy Bottoms, Coastal"
742,Trevally,Local Name 742,Kerala Backwaters,Moderate,Monsoon (July-Sept),"Coral Reefs, Open Sea"
